input,status,detail
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__opto22.com__groov__R4.2a__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__opto22.com__pac__R1.0a__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__ornl.gov__daymet__1.0.2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__parliament.uk__commonsvotes__v1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__payments.service.gov.uk__payments__1.0.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__pendo.io__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__postmarkapp.com__account__0.9.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__postmarkapp.com__server__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__powerdns.local__0.0.13__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__qualpay.com__1.7.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__quarantine.country__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__rbaskets.in__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__refugerestrooms.org__0.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__reversepp.com__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__royalmail.com__click-and-drop__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__runscope.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__schooldigger.com__v2.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__setlist.fm__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__sheerseo.com__0.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__simplyrets.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__skynewz-api-fortnite.herokuapp.com__3.1.5__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__slicebox.local__2.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__spinbot.net__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__surrey.ca__open511__0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__swaggerhub.com__1.0.66__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__taggun.io__1.15.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__testfire.net__altoroj__1.0.2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__text2data.org__v3.4__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__thesmsworks.co.uk__1.8.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__thetvdb.com__3.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__tradematic.com__1.0.2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__transitfeeds.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__turbinelabs.io__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__twitter.com__legacy__1.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__tyk.com__1.9__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__uscann.net__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__uspto.gov__bdss__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__vestorly.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__visiblethread.com__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__voodoomfg.com__2.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__walmart.com__item__3.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__walmart.com__order__3.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__waterlinked.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__weatherbit.io__2.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__weber-gesamtausgabe.de__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__whapi.com__accounts__2.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__whapi.com__sessions__2.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__whapi.com__sportsdata__2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__zalando.com__v1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__zappiti.com__4.15.174__swagger.yaml","ok",""
